,I,T,J,Pjt,Pr(j),Yit0,Yit1,Yit2
0,1,1,1,0.6965101241930127,0.2658725401427581,0,0,1
1,1,1,2,0.9782584356439323,0.2005911406098851,0,0,1
2,1,2,1,1.1187472250742052,0.19749813173279895,1,0,0
3,1,2,2,1.1164279153005578,0.19795672268166792,1,0,0
4,1,3,1,1.0286257200226916,0.20124537526034228,1,0,0
5,1,3,2,0.870051189473529,0.2358272313808202,1,0,0
6,1,4,1,0.9359523778423687,0.22135268049204782,1,0,0
7,1,4,2,0.9684374838977083,0.21427755546092503,1,0,0
8,1,5,1,1.285162631458718,0.1796679305679496,0,0,1
9,1,5,2,1.3358585347721073,0.1707865299193655,0,0,1
10,1,6,1,1.067918909980124,0.20332012969352936,0,1,0
11,1,6,2,1.0589259450819493,0.20515682678085886,0,1,0
12,1,7,1,1.0481675697059947,0.20225361953251256,0,1,0
13,1,7,2,0.9602777422001219,0.2208342189697317,0,1,0
14,1,8,1,1.1420895425025124,0.18580933142218703,0,0,1
15,1,8,2,0.9201048065508697,0.2319926717794545,0,0,1
16,1,9,1,0.8069518327810888,0.24374354292229916,0,1,0
17,1,9,2,0.9559085984504483,0.2100109880261218,0,1,0
18,1,10,1,1.0052044579641422,0.21212599547541564,0,0,1
19,1,10,2,1.023660203388019,0.208246957478122,0,0,1
20,1,11,1,0.8885791427238154,0.22991734851589946,0,1,0
21,1,11,2,0.9744454424532594,0.21099904139874404,0,1,0
22,1,12,1,1.112128557075246,0.18457206934254922,0,1,0
23,1,12,2,0.7921387200145135,0.254176738016688,0,1,0
24,1,13,1,0.8499992270088098,0.2316887789946843,0,0,1
25,1,13,2,0.8737902535475908,0.2262417176189384,0,0,1
26,1,14,1,1.2811086011301192,0.1661334460909431,0,1,0
27,1,14,2,0.9314181283834537,0.23568162090769001,0,1,0
28,1,15,1,0.7622822244119798,0.26094289186577246,0,1,0
29,1,15,2,1.1346593445477802,0.1798142651959365,0,1,0
30,1,16,1,0.5285233116564132,0.29273198665244937,1,0,0
31,1,16,2,0.8574876361591122,0.2106700455975138,1,0,0
32,1,17,1,0.6772680424422937,0.2551416638644435,0,0,1
33,1,17,2,0.7276157950467425,0.24261387380586197,0,0,1
34,1,18,1,1.2125361608782874,0.16315057818294643,0,1,0
35,1,18,2,0.6430794151116037,0.28833710891275494,0,1,0
36,1,19,1,0.7181228012257286,0.25515015528423174,1,0,0
37,1,19,2,0.8589026351833873,0.2216439758478372,1,0,0
38,1,20,1,1.216465637374235,0.17391596299616113,1,0,0
39,1,20,2,0.8982547283354246,0.23907638904487197,1,0,0
