,I,T,J,Pjt,Pr(j),Yit0,Yit1,Yit2
0,1,1,1,1.418022403662632,0.14712138021049595,0,1,0
1,1,1,2,0.9063001988904522,0.24542224265930962,0,1,0
2,1,2,1,1.5204402502640761,0.1459273715743161,1,0,0
3,1,2,2,1.2747641319586638,0.18656601816995858,1,0,0
4,1,3,1,1.3252733389332645,0.15616391959084774,1,0,0
5,1,3,2,0.8303856826222372,0.2561578557579983,1,0,0
6,1,4,1,1.0974522466765644,0.19626340944016168,1,0,0
7,1,4,2,1.0033506484615886,0.21562898761481614,1,0,0
8,1,5,1,0.5405048920467106,0.2993822461761878,1,0,0
9,1,5,2,1.0131713454117361,0.18661631523338065,1,0,0
10,1,6,1,0.8483198317743018,0.23800214737985284,0,0,1
11,1,6,2,0.9922784158305111,0.20609167873262788,0,0,1
12,1,7,1,1.1048050397889368,0.20954946022781307,0,1,0
13,1,7,2,1.3878218100675859,0.1578970168178063,0,1,0
14,1,8,1,0.9463842597198945,0.2340082322305774,0,1,0
15,1,8,2,1.307387631716155,0.16309827336537608,0,1,0
16,1,9,1,1.098118702595585,0.1769989237627899,0,0,1
17,1,9,2,0.5965968692253756,0.2922663328877134,0,0,1
18,1,10,1,0.9436724173316222,0.21768178827948667,0,1,0
19,1,10,2,0.9195052696507857,0.22300662004010066,0,1,0
20,1,11,1,1.046358828788463,0.2014077177817084,1,0,0
21,1,11,2,0.9350069253734562,0.22513116853945644,1,0,0
22,1,12,1,0.5064607457561526,0.2843755828082302,1,0,0
23,1,12,2,0.6606980790238779,0.24372937864562275,1,0,0
24,1,13,1,1.1448411678176131,0.18141234016082575,1,0,0
25,1,13,2,0.8297663030186426,0.2486005589620869,1,0,0
26,1,14,1,1.015083176389714,0.22588408267912477,0,0,1
27,1,14,2,1.4193642184762782,0.15076780183659827,0,0,1
28,1,15,1,0.965919215535978,0.22104155874664475,0,1,0
29,1,15,2,1.074803010973836,0.1982377240488629,0,1,0
30,1,16,1,0.6089758246722969,0.2802128489276564,1,0,0
31,1,16,2,0.9234560692197213,0.20460253522647118,1,0,0
32,1,17,1,1.3309058080099554,0.16535271023385792,0,0,1
33,1,17,2,1.097250913830449,0.2088749451595854,0,0,1
34,1,18,1,1.0249236563645954,0.19403224265907468,1,0,0
35,1,18,2,0.7123783063923916,0.2652226586449345,1,0,0
36,1,19,1,1.170648409007604,0.17956850721069564,1,0,0
37,1,19,2,0.8743861884216231,0.24148781382612886,1,0,0
38,1,20,1,0.7970187182866252,0.24278371152493955,1,0,0
39,1,20,2,0.902405211670727,0.21849966417425137,1,0,0
40,2,1,1,1.418022403662632,0.14712138021049595,0,0,1
41,2,1,2,0.9063001988904522,0.24542224265930962,0,0,1
42,2,2,1,1.5204402502640761,0.1459273715743161,1,0,0
43,2,2,2,1.2747641319586638,0.18656601816995858,1,0,0
44,2,3,1,1.3252733389332645,0.15616391959084774,1,0,0
45,2,3,2,0.8303856826222372,0.2561578557579983,1,0,0
46,2,4,1,1.0974522466765644,0.19626340944016168,1,0,0
47,2,4,2,1.0033506484615886,0.21562898761481614,1,0,0
48,2,5,1,0.5405048920467106,0.2993822461761878,1,0,0
49,2,5,2,1.0131713454117361,0.18661631523338065,1,0,0
50,2,6,1,0.8483198317743018,0.23800214737985284,0,0,1
51,2,6,2,0.9922784158305111,0.20609167873262788,0,0,1
52,2,7,1,1.1048050397889368,0.20954946022781307,1,0,0
53,2,7,2,1.3878218100675859,0.1578970168178063,1,0,0
54,2,8,1,0.9463842597198945,0.2340082322305774,0,0,1
55,2,8,2,1.307387631716155,0.16309827336537608,0,0,1
56,2,9,1,1.098118702595585,0.1769989237627899,1,0,0
57,2,9,2,0.5965968692253756,0.2922663328877134,1,0,0
58,2,10,1,0.9436724173316222,0.21768178827948667,1,0,0
59,2,10,2,0.9195052696507857,0.22300662004010066,1,0,0
60,2,11,1,1.046358828788463,0.2014077177817084,1,0,0
61,2,11,2,0.9350069253734562,0.22513116853945644,1,0,0
62,2,12,1,0.5064607457561526,0.2843755828082302,0,1,0
63,2,12,2,0.6606980790238779,0.24372937864562275,0,1,0
64,2,13,1,1.1448411678176131,0.18141234016082575,1,0,0
65,2,13,2,0.8297663030186426,0.2486005589620869,1,0,0
66,2,14,1,1.015083176389714,0.22588408267912477,0,1,0
67,2,14,2,1.4193642184762782,0.15076780183659827,0,1,0
68,2,15,1,0.965919215535978,0.22104155874664475,1,0,0
69,2,15,2,1.074803010973836,0.1982377240488629,1,0,0
70,2,16,1,0.6089758246722969,0.2802128489276564,0,1,0
71,2,16,2,0.9234560692197213,0.20460253522647118,0,1,0
72,2,17,1,1.3309058080099554,0.16535271023385792,1,0,0
73,2,17,2,1.097250913830449,0.2088749451595854,1,0,0
74,2,18,1,1.0249236563645954,0.19403224265907468,1,0,0
75,2,18,2,0.7123783063923916,0.2652226586449345,1,0,0
76,2,19,1,1.170648409007604,0.17956850721069564,0,0,1
77,2,19,2,0.8743861884216231,0.24148781382612886,0,0,1
78,2,20,1,0.7970187182866252,0.24278371152493955,1,0,0
79,2,20,2,0.902405211670727,0.21849966417425137,1,0,0
80,3,1,1,1.418022403662632,0.14712138021049595,0,0,1
81,3,1,2,0.9063001988904522,0.24542224265930962,0,0,1
82,3,2,1,1.5204402502640761,0.1459273715743161,1,0,0
83,3,2,2,1.2747641319586638,0.18656601816995858,1,0,0
84,3,3,1,1.3252733389332645,0.15616391959084774,1,0,0
85,3,3,2,0.8303856826222372,0.2561578557579983,1,0,0
86,3,4,1,1.0974522466765644,0.19626340944016168,1,0,0
87,3,4,2,1.0033506484615886,0.21562898761481614,1,0,0
88,3,5,1,0.5405048920467106,0.2993822461761878,1,0,0
89,3,5,2,1.0131713454117361,0.18661631523338065,1,0,0
90,3,6,1,0.8483198317743018,0.23800214737985284,1,0,0
91,3,6,2,0.9922784158305111,0.20609167873262788,1,0,0
92,3,7,1,1.1048050397889368,0.20954946022781307,1,0,0
93,3,7,2,1.3878218100675859,0.1578970168178063,1,0,0
94,3,8,1,0.9463842597198945,0.2340082322305774,1,0,0
95,3,8,2,1.307387631716155,0.16309827336537608,1,0,0
96,3,9,1,1.098118702595585,0.1769989237627899,1,0,0
97,3,9,2,0.5965968692253756,0.2922663328877134,1,0,0
98,3,10,1,0.9436724173316222,0.21768178827948667,0,0,1
99,3,10,2,0.9195052696507857,0.22300662004010066,0,0,1
100,3,11,1,1.046358828788463,0.2014077177817084,1,0,0
101,3,11,2,0.9350069253734562,0.22513116853945644,1,0,0
102,3,12,1,0.5064607457561526,0.2843755828082302,0,1,0
103,3,12,2,0.6606980790238779,0.24372937864562275,0,1,0
104,3,13,1,1.1448411678176131,0.18141234016082575,1,0,0
105,3,13,2,0.8297663030186426,0.2486005589620869,1,0,0
106,3,14,1,1.015083176389714,0.22588408267912477,0,1,0
107,3,14,2,1.4193642184762782,0.15076780183659827,0,1,0
108,3,15,1,0.965919215535978,0.22104155874664475,0,0,1
109,3,15,2,1.074803010973836,0.1982377240488629,0,0,1
110,3,16,1,0.6089758246722969,0.2802128489276564,1,0,0
111,3,16,2,0.9234560692197213,0.20460253522647118,1,0,0
112,3,17,1,1.3309058080099554,0.16535271023385792,1,0,0
